station,valid,feel,p01m
06C,2018-08-30 12:55,63.30,0.00
06C,2018-08-30 13:55,65.30,0.00
06C,2018-08-30 14:55,67.60,0.00
06C,2018-08-30 15:55,67.80,0.00
06C,2018-08-30 16:55,68.00,0.00
06C,2018-08-30 17:55,68.40,0.00
06C,2018-08-30 18:55,68.50,0.00
06C,2018-08-30 19:55,70.70,0.00
06C,2018-08-30 20:55,71.10,0.00
06C,2018-08-30 21:55,70.50,0.00
06C,2018-08-30 22:55,69.30,0.00
06C,2018-08-30 23:55,65.70,0.00
06C,2018-08-31 00:55,63.00,0.00
06C,2018-08-31 01:55,61.30,0.00
06C,2018-08-31 02:55,57.70,0.00
06C,2018-08-31 03:55,57.40,0.00
06C,2018-08-31 04:55,57.60,0.00
06C,2018-08-31 05:55,56.50,0.00
06C,2018-08-31 06:55,55.00,0.00
06C,2018-08-31 07:55,54.90,0.00
06C,2018-08-31 08:55,57.60,0.00
06C,2018-08-31 09:55,55.90,0.00
06C,2018-08-31 10:55,56.50,0.00
06C,2018-08-31 11:55,58.10,0.00
06C,2018-08-31 12:55,62.20,0.00
06C,2018-08-31 13:55,68.20,0.00
06C,2018-08-31 14:55,72.50,0.00
06C,2018-08-31 15:55,75.00,0.00
06C,2018-08-31 16:55,77.90,0.00
06C,2018-08-31 17:55,80.88,0.00
06C,2018-08-31 18:55,82.71,0.00
06C,2018-08-31 19:55,84.38,0.00
06C,2018-08-31 20:55,85.69,0.00
06C,2018-08-31 21:55,85.79,0.00
06C,2018-08-31 22:55,85.03,0.00
06C,2018-08-31 23:55,83.84,0.00
06C,2018-09-01 00:55,81.31,0.00
06C,2018-09-01 01:55,75.20,0.00
06C,2018-09-01 02:55,73.00,0.00
06C,2018-09-01 03:55,72.00,0.00
06C,2018-09-01 04:55,71.80,0.00
06C,2018-09-01 05:55,71.40,0.00
06C,2018-09-01 06:55,71.20,0.00
06C,2018-09-01 07:55,71.95,0.00
06C,2018-09-01 08:55,71.76,0.00
06C,2018-09-01 09:55,71.95,0.00
06C,2018-09-01 10:55,71.98,0.00
06C,2018-09-01 11:55,72.20,0.00
06C,2018-09-01 12:55,71.73,1.27
06C,2018-09-01 13:55,72.00,2.29
06C,2018-09-01 14:55,69.10,1.02
06C,2018-09-01 15:55,71.54,0.00
06C,2018-09-01 16:55,72.96,0.51
06C,2018-09-01 17:55,74.86,0.00
06C,2018-09-01 18:55,78.20,0.00
06C,2018-09-01 19:55,85.66,0.00
06C,2018-09-01 20:55,89.28,0.00
06C,2018-09-01 21:55,86.47,0.00
06C,2018-09-01 22:55,85.29,0.00
06C,2018-09-01 23:55,81.83,0.00
06C,2018-09-02 00:55,76.46,4.32
06C,2018-09-02 01:55,75.69,0.25
06C,2018-09-02 02:55,74.42,0.00
06C,2018-09-02 03:55,74.73,0.00
06C,2018-09-02 04:55,74.01,0.00
06C,2018-09-02 05:55,74.01,0.00
06C,2018-09-02 06:55,68.00,1.27
06C,2018-09-02 07:55,68.00,0.51
06C,2018-09-02 08:55,67.60,0.25
